"category_id","category_name","category_family","general_meaning","visual_traits","notes"
"cat_phone","手机","消费电子/回收","手机售卖商品或回收对象。","屏幕、机身、摄像头、科技光影、型号识别。","售卖和回收含义要由业务线区分。"
"cat_tablet","平板","消费电子/回收","平板售卖商品或回收对象。","大屏、轻薄机身、电脑桌面、效率、娱乐价值。","参数和型号走统一事实限制。"
"cat_computer","电脑","消费电子/回收","笔记本或电脑商品。","电脑桌面、屏幕、键盘、效率、性能。","适合专业推荐、好货推荐和数码桌面语境。"
"cat_headphones","耳机","消费电子","音频设备。","佩戴、音质、通勤、演出、沉浸感。","适合生活方式和专业推荐。"
"cat_camera","摄影摄像","消费电子/回收","相机、镜头、运动相机或拍摄器材。","镜头、金属材质、出游拍摄、专业器材感。","适合专业推荐和出游拍摄语境。"
"cat_smart_wearable","智能穿戴","消费电子/回收","手表、手环等智能穿戴。","科技、小巧、健康、运动、腕部场景。","健康参数走统一事实限制。"
"cat_game_device","游戏设备","消费电子/回收","主机、掌机、游戏外设等实物设备。","科技、娱乐、游戏语境、动态线条、克制高光。","Switch、PS5、手柄、游戏主机、掌机和外设等归入消费电子游戏设备；具体游戏品牌和型号走统一事实限制。"
"cat_home_appliance","家电","消费电子","居家效率和生活问题解决类商品。","居家、清洁、台面、生活效率。","适合生活方式和好货推荐。"
"cat_cleaning","清洁","消费电子","清洁电器或清洁相关商品。","居家清洁、地面、效率、轻场景。","当前常作为场景线索使用。"
"cat_luxury","奢侈品","回收","高价值回收品类。","暗色质感、展台、微光、信任、安全感。","品牌和高价承诺走统一限制。"
"cat_gold","黄金","回收","贵金属回收品类。","金属光泽、稳重、价值感、信任感。","价格和克重走统一事实限制。"
"cat_wine","名酒","回收","高价值酒类回收对象。","瓶身、暗色展台、品质、信任。","品牌、年份和价格走统一事实限制。"
"cat_drone","无人机","回收","数码或兴趣设备回收对象。","科技、机身结构、户外/设备感。","适合回收覆盖或专项回收。"
"cat_e_bike","电动车","回收","大件回收对象。","车辆轮廓、通勤、服务便利。","业务语义优先按回收服务处理。"
"cat_all","全品类","回收","回收覆盖范围。","多品类集合、图标或商品组、服务流程。","强调都能收但不承诺同价。"
"cat_general","综合品类","通用","多品类或综合活动。","货盘、卡片、分类入口、统一主题。","需要共同活动理由。"
"cat_unknown","未识别品类","通用","图片或任务中尚未明确的品类。","根据可见外观谨慎处理。","输出前尽量归一到明确品类。"
"cat_membership_day","会员日活动","会员","转转平台会员日或会员季节活动。","A 使用暖金高级活动氛围与下方礼赠主视觉；S 使用圣诞或中秋的节点主题背景，商品按单品主推、主推+陪衬或多商品集合组织；文字与固定层按各自 renderer 路线处理。","仅用于转转平台会员权益；第三方会员充值和点卡仍归 cat_card_coupon。"
