"combination_id","combination_name","meaning","image_count_hint","best_for_marketing","best_for_business","best_for_relation","arrangement_principle","positive_visual_language","prompt_fragment","negative_rule_ids","notes"
"combo_subject_card_carrier","主体卡片承载式陈列","用主卡片、收藏卡、相框、权益卡面或界面面板承载主商品、权益素材或视觉素材，适合一个主主体加少量辅助卡片。","1_to_3","m_good_goods|m_lifestyle_seeding|m_flash_sale|m_subsidy_benefit|m_professional_recommendation","biz_n_category|biz_consumer_electronics","rel_single_hero|rel_primary_support|rel_multi_collection","用一张明确主卡片承载主体，主卡片可以是收藏卡、相框、海报框、权益卡面、会员/充值/兑换卡面、界面面板或商品展示卡；辅助卡片、贴纸、标签用于少量氛围或信息补充；潮玩平面风从收藏卡、贴纸卡、相框或撕纸层中选择 1-2 类平面承载语言来承载实物商品切图；卡券用权益卡面或充值卡面承载。","主卡片有清晰边框、轻微厚度、投影和适度透视；主体完整清晰，可局部破出卡片边界形成前后层次；辅助卡片共享统一边距、阴影、色彩和光源规则；潮玩类主体卡偏收藏卡、贴纸、撕纸和趣味错落，商品贴合平面系统但保持主次；卡券类主体卡保持清晰可信的虚拟权益卡面。","采用主体卡片承载式陈列，用主卡片或界面面板承载主体，主体可局部破框形成层次，少量辅助卡片或标签补充氛围。","neg_product_identity|neg_no_crop_occlusion|neg_no_unprovided_facts|neg_visual_clutter|neg_background_disconnected_system","主卡装主体，权益卡装信息；适合需要卡片、收藏卡、权益卡面、相框或界面面板承载的潮玩、卡券、数码商品或主商品素材。N 品类游戏人物/角色立绘优先作为主视觉进入游戏背景；用户明确要求角色卡、皮肤卡或卡片承载时再作为特殊测试方向。潮玩补充要求为平面风时优先作为候选。"
"combo_cross_category","跨品类集合","不同品类共同出现，表达多品类覆盖或主题集合。","3_plus","m_seasonal_promotion|m_good_goods|m_lifestyle_seeding","biz_n_category|biz_consumer_electronics|biz_recycle","rel_multi_collection|rel_multi_recyclable","按品类分组，并通过共同标题、色带、空间光源、信息模块或场景线索连接。","跨品类要像同一主题下的不同入口：每组有独立识别，整体有统一光源、色彩和运营秩序。","采用跨品类集合，不同品类围绕同一活动理由组织，画面中有清晰主次和分组。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","回收可转为多品类回收组合。"
"combo_same_category_multi_sku","同品类多款","同一品类多个 SKU 或多款商品并列，强调选择丰富。","2_plus","m_flash_sale|m_good_goods|m_professional_recommendation|m_sales_ranking","biz_consumer_electronics|biz_n_category","rel_multi_collection|rel_ranked_list","保持同类商品的角度、尺度和间距有节奏变化，可用横向序列、轻弧线、前后错落或统一卡片形成选择感；潮玩多款可采用主推+陪衬的同品类专题陈列，主商品更突出，陪衬商品在前后、高低、大小和角度上错落分布，承托物只选择少量主类型。","多款同品类商品要有比较感：主体结构清楚，重点款更突出，其余商品在统一节奏中补充丰富度；潮玩多款像被策划过的礼物橱窗或收藏专题，错落有趣但不平均排队、不塞满卡片，装饰和承托只形成一种主陈列语言。","采用同品类多款陈列，多件同类商品形成选择丰富感，主推款或重点款更突出。","neg_product_identity|neg_no_crop_occlusion|neg_no_unprovided_facts","稳定承托优先组合；适合手机、电脑、摄影摄像和潮玩多款。潮玩场景表达时可与平面立体融合背景联动。"
"combo_ce_curated_assortment","消费电子专题货盘陈列","消费电子 S 档父级组合入口，根据补充要求或随机选择微缩主题场景或超现实商品场景。","1_plus","m_flash_sale|m_good_goods|m_professional_recommendation|m_seasonal_promotion|m_new_arrival","biz_consumer_electronics","rel_single_hero|rel_primary_support|rel_multi_collection","从 combo_ce_miniature_theme / 消费电子微缩主题场景 或 combo_ce_surreal_product_scene / 消费电子超现实商品场景中选择一种主表达，并把选中组合写入 review；具体场景、小世界、夏天、沙滩、旅行、街道、草地、桌面城市等补充要求优先命中微缩主题场景；漂浮、悬浮、梦幻、超现实、抽象自然、未来空间、尺度错位等补充要求优先命中超现实商品场景；无补充要求时在 S 档候选中随机。","S 档重点是形成更强的主题视觉：商品可以是单件或多件，需保持完整清晰、尺度关系合理、关键识别特征稳定；同品类多款和跨品类集合共享同一空间光源、接触阴影和细腻材质层次，重点商品突出，陪衬商品完整可识别。","采用消费电子专题货盘陈列，从微缩主题场景或超现实商品场景中选定一种主表达并写入 review，同时选定消费电子光影策略。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_no_unprovided_facts","消费电子 S 档父级入口；具体视觉语言读取 combo_ce_miniature_theme 或 combo_ce_surreal_product_scene。"
"combo_ce_miniature_theme","消费电子微缩主题场景","消费电子 S 档候选；商品成为小世界里的主体建筑、主装置、主地景、道具节点或路径地标，微缩场景用来隐喻卖点和情绪。","1_plus","m_flash_sale|m_good_goods|m_professional_recommendation|m_seasonal_promotion|m_new_arrival","biz_consumer_electronics","rel_single_hero|rel_primary_support|rel_multi_collection","把消费电子商品组织成微缩世界的主建筑、主装置、主地景、核心道具或路径节点，可配合机场跑道、海滩、街道、草地、桌面城市、旅行路线、微型地面、坡道、房间切片、旅行箱内景、书本地形、沙滩岸线、微型小人、交通工具、植物或光影路径形成产品卖点和情绪隐喻；微型元素只负责建立尺度、故事和使用理由。","商品完整清晰且尺度关系合理；画面有小世界尺度关系、接触阴影、互动细节和空间叙事。","选中消费电子微缩主题场景：把商品作为小世界主体或节点，配合微型空间、路径和比例参照形成主题隐喻，商品保持完整清晰。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_no_unprovided_facts","消费电子 S 档候选；补充要求出现小场景、微缩、小世界、机场、海滩、街道、旅行、草地、桌面城市、主题隐喻等词时优先。"
"combo_ce_surreal_product_scene","消费电子超现实商品场景","消费电子 S 档候选；消费电子商品进入高级、克制、有想象力的广告空间，用漂浮、尺度错位、梦幻材质、抽象自然或未来空间表达商品气质和使用价值。","1_plus","m_good_goods|m_professional_recommendation|m_seasonal_promotion|m_new_arrival","biz_consumer_electronics","rel_single_hero|rel_primary_support|rel_multi_collection","让消费电子商品进入高级、克制、有想象力的广告空间，可使用漂浮、尺度错位、梦幻材质、抽象自然、未来空间、现实与虚构交界、柔和雾化空间、镜面水面、云雾、光幕、抽象地形或半真实空间；商品保持完整清晰、材质高级、关键结构稳定，通过清晰边缘、产品轮廓光、材质反射、接触阴影或漂浮阴影成为视觉焦点。","超现实感来自尺度、空间、材质、光影和留白；场景负责建立想象力、情绪和品牌感，商品仍是最清楚的主视觉。","选中消费电子超现实商品场景：用克制的超现实广告空间表达商品气质，商品完整清晰、材质高级、关键结构稳定。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_no_unprovided_facts","消费电子 S 档候选；补充要求出现超现实、梦幻、漂浮、悬浮、尺度错位、抽象自然、未来空间、现实与虚构等词时优先。"
"combo_scene_display","场景化陈列","商品或核心视觉主体按使用场景、内容场景或活动场景组织，让用户理解当前主题。","1_to_5","m_lifestyle_seeding|m_professional_recommendation|m_good_goods|m_seasonal_promotion|m_flash_sale","biz_n_category|biz_consumer_electronics","rel_single_hero|rel_primary_support|rel_multi_collection","把主体放进能解释主标题的空间关系里，场景可以是桌面、户外、练习、通勤、演出、家居、拍摄、轻科技空间、游戏背景、半抽象空间或内容专题空间；潮玩场景表达可使用平面图形背景与轻立体小场景融合，平面层选 1-2 类主元素，轻立体层选 1 类主承托、最多 1 类辅助承托来承托商品；消费电子 A/S 已选中高级摄影生活方式、人物局部使用、微缩主题场景或超现实商品场景时，应按选中方向组织空间，桌面或轻科技空间只作为该方向的具体场所，不作为默认替代方案；当商品价值来自佩戴、手持、操作、使用、出行、练习、拍摄或演奏时，可引入手部、局部人物、佩戴者、使用者或道具关系；人物参与为是时，人物与用户提供的商品形成清晰可见的使用关系。","场景像主题价值的证据：道具、空间、光线或背景解释使用理由和活动语境，视线最终回到主体本身；潮玩场景要有收藏、礼物、入坑或趣味价值，商品是前景焦点，道具只做柔和承托，平面元素和轻立体陈列共享色彩、阴影和边缘节奏，并以少量主元素形成一种清楚的专题陈列语言；消费电子按已选中的 A/S 主表达组织场景，可是办公、通勤、运动、拍摄、居家、旅行、微缩主题或超现实商品空间，并让选中方向成为主视觉语言；游戏人物或角色群像可成为前景主视觉，游戏视觉背景铺开为整张底图；人物参与时，佩戴、手持、操作、骑行、演奏、试用或使用中展示应成为商品价值证据，商品可因使用关系改变视角和姿态但保留关键识别特征；视觉表达模式为稳定承托时，使用关系清晰但场景、道具和信息层保持克制。","采用场景化陈列，主体与使用场景、内容背景、道具、人物或使用动作发生关系；人物参与时，人物清晰使用用户提供的商品，场景解释主题价值并衬托主体。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_people_not_using_product","场景表达优先组合；人物参与=是时也可作为人物使用商品的组合方式，并由视觉表达模式决定场景强度。适合骑行、乐器、摄影、家电、耳机、智能穿戴、电脑、相机、游戏人物主视觉、角色群像和潮玩专题陈列。"
"combo_ranked_products","榜单排行组合","商品按 TOP 或热销排序组织。","2_plus","m_sales_ranking","biz_consumer_electronics|biz_n_category","rel_ranked_list","用排名数字、卡片层级、尺度差异或纵向序列建立排序视觉，排名视觉与商品位置绑定。","榜单要有可信秩序：数字、商品和卡片对齐，TOP 商品有明显视觉优先级，其余商品形成清楚递进。","采用榜单排行组合，TOP 商品更大，其余商品用卡片或列表承接，排名层级清晰。","neg_ranking_requires_source|neg_no_unprovided_facts|neg_product_identity","组合层命名；触发事实确认。"
"combo_bundle","套装 / 组合包","商品之间有搭配购买或组合包关系。","2_plus","m_subsidy_benefit|m_professional_recommendation|m_good_goods","biz_consumer_electronics|biz_n_category","rel_primary_support|rel_multi_collection","在用户或数据确认套装关系后，用近距离、共同容器、连线、组合底座或主配件层级表达组合感。","套装画面要有组合关系：主商品明确，配件围绕主商品服务使用理由，组合权益或搭配价值清楚。","采用套装或组合包表达，主商品与配件形成明确搭配关系，组合权益或使用理由清晰。","neg_bundle_requires_source|neg_product_identity|neg_no_crop_occlusion","由用户明示或数据确认套装关系后选择。"
"combo_multi_recyclable","多品类回收组合","回收业务专用，用多个品类表达覆盖范围。","2_plus","m_subsidy_benefit|m_service_trust|m_seasonal_promotion","biz_recycle","rel_multi_recyclable","用回收专用的多品类错落陈列表达覆盖范围：当只有 2 个商品或品类时，不强制设置主回收对象或陪衬对象，两个商品都保持合理视觉权重，通过前后、高低、大小、朝向、轻透视差或轻交叠形成错落，避免下沿齐平、等高并排或普通商品合影；当有 3 个及以上商品或品类时，可选一个主回收对象作为最大视觉重心，其他品类作为陪衬对象形成前后、高低、大小、朝向和轻透视差。商品可局部前后交叠但不能遮挡关键识别特征。优先使用同一连续浅色空间、无台面或最多 1 个连续台面/统一承托面承接所有商品，不为每个品类单独生成台子、圆台、石台、托盘或独立卡片。仅当用户明确要求卡片、入口矩阵、图标化分类或流程节点时，才退到轻量分组、服务入口矩阵或流程旁品类组。","它应像回收服务的多品类错落主视觉：2 个商品时两者视觉权重接近但必须有明确错落，至少在前后、高低、底边位置、朝向或轻透视上形成层次；3 个及以上商品时可让主商品更大更稳，陪衬商品在侧后方、前景或高处形成轻层次；所有商品共享同一光源、接触阴影、色彩体系和回收服务语义。画面要有覆盖范围和平台可信感，商品用于说明服务对象，不做普通卖货堆叠，也不做多个独立展台陈列。","采用多品类回收组合：2 个回收品类时不强制主推，两个商品保持合理大小并通过前后高低、底边错开、大小/角度/轻透视差形成错落；3 个及以上回收品类时可让一个主回收对象更突出，其他品类形成前后高低和大小层次；所有商品共享同一连续浅色空间、无台面或最多 1 个连续承托面，突出覆盖范围和服务可信。","neg_business_recycle_not_sale|neg_service_claims_source|neg_no_unprovided_facts|neg_visual_clutter|neg_recycle_podium_count","组合层命名；回收全品类默认组合。默认不是卡片矩阵，而是多品类错落主视觉；2 个商品时不强制主推但必须错落，避免下沿齐平或等高并排；卡片、入口矩阵或流程节点仅在用户明确要求或信息结构强制需要时使用。"
"combo_service_flow","服务流程组合","商品或品类与估价、上门、质检、打款等服务步骤一起表达。","1_plus","m_service_trust|m_subsidy_benefit","biz_recycle","rel_service_consultant|rel_multi_recyclable","用横向流程、纵向步骤、环形路径、主服务卡加节点卡等结构表达服务路径。","流程像可信的服务路径：节点少而清晰，线条统一，服务卡片和商品之间有稳定对齐关系。","采用服务流程组合，商品或品类与流程节点共同出现，用户能看懂回收服务路径。","neg_business_recycle_not_sale|neg_service_claims_source|neg_no_unprovided_facts","回收服务信任优先。"
