"negative_rule_id","rule_name","rule_type","applies_when","negative_prompt_fragment","severity","notes"
"neg_visual_clutter","画面杂乱限制","visual","所有生图任务","不把无关装饰堆满画面，不把候选平面元素、贴纸、卡片、台面、礼盒、相框或道具全部堆进同一张图，不让装饰抢商品和标题。","medium","用于控制促销模板化、装饰过载和候选元素清单化。"
"neg_background_disconnected_system","背景系统断裂限制","background","所有包含背景、标题区、商品区或多层视觉区域的生图任务","背景区域之间不出现硬切拼接、材质体系突变、光源冲突、透视或空间深度冲突；不形成独立白底标题条、独立页眉区或与实景主体区硬分割的背景块；平面图形层、拼贴层、卡片层、实景层和商品层之间不缺少统一过渡或共同设计秩序。","high","不限制平面拼贴风；只限制缺少统一图形语言或空间逻辑的断裂拼接。"
"neg_heavy_benefit_cards","权益信息厚重限制","info_module","副标题、权益点、卖点、会员、充值、兑换、服务点或保障信息被拆成模块、卡片或图标信息层时","不使用厚重色块按钮、大面积实心底、大圆角胶囊按钮、重阴影、实心大图标、强 UI 控件感权益卡或抢主标题的信息模块。","high","默认采用纯文字短句、细分隔线、中点分隔或低存在感信息行；卡券类或服务流程确需卡片时，也必须保持辅助层级。"
"neg_people_not_using_product","人物未使用商品限制","people","people_participation=是 或人物参与被推断为允许时","人物不只作为背景氛围、远景人物、旁观者或与商品无关的装饰人物；人物参与时应与用户提供的商品发生可见使用关系，不使用另一件无关商品替代主商品。","high","人物参与=是 时，QA 必须检查人物是否在使用、佩戴、手持、操作、骑行、演奏、试用或展示用户提供的商品。"
"neg_no_template_sale","模板化促销限制","visual","用户要求高级感、内容审美或日常运营图时","不做成廉价促销模板、贴纸堆、强噪点活动页或只有折扣感的通用模板。","medium","与正向视觉语言一起使用。"
"neg_membership_no_fixed_layer_redraw","会员固定层不重画","layer","biz_membership 且 A/S 2:1 会员日头图","AI 底图不生成会员日标识、每月22日、日期、副标题标准字、右侧规则按钮、规则文字或底部弧形；这些固定层留给后续代码合成。","high","避免 AI 重画造成重复、乱码或错位。"
"neg_business_recycle_not_sale","回收业务边界","business","business_line_id=biz_recycle","回收业务不要画成普通卖货图，不暗示无条件高价回收或所有商品同价。","high","回收服务默认启用。"
"neg_ranking_requires_source","榜单排行来源","fact","marketing_type_id=m_sales_ranking 或标题含 TOP/排行","排名、销量、TOP 数字必须来自用户或数据，不生成无来源榜单。","high","触发事实确认。"
"neg_bundle_requires_source","套装关系来源","fact","combination_id=combo_bundle 或标题含套装/买赠","未确认套装或赠品关系时，不把普通多商品表达成套装、组合包、买赠。","medium","套装关系需要用户或商品数据确认。"
"neg_game_no_ip_hallucination","游戏/IP 限制","ip","游戏、潮玩、IP 类素材或 game_ui_graphic 背景","不新增游戏名、IP 名、角色名、福利金额或具体品牌世界观。","high","避免仿特定游戏或 IP。"
"neg_game_character_card_misuse","游戏人物卡片误用限制","layout","game_visual_asset_type=game_character_visual 或 game_multi_character_visual 且游戏人物或角色群像作为主视觉","不把游戏人物或角色群像强行放进商品卡、角色卡、皮肤卡或卡片阵列，不让卡片边框压住人物主体。","high","用于游戏人物主视觉和角色群像场景。"
"neg_service_claims_source","服务承诺来源","service","回收或服务信任任务","上门、质检、打款、官方验等服务承诺必须来自用户或业务规则。","high","服务承诺相关任务默认启用。"
"neg_recycle_podium_count","回收台面数量限制","layout","background_recipe_id=bg_recycle_service_graphic 或 business_line_id=biz_recycle 的浅色台面背景","回收浅色背景中不生成两个或多个分离台子、展台、圆台、石台、托盘或承托块；可无台面，若需要承托只能使用 1 个连续台面或 1 个统一承托面。","medium","用于避免回收 B 档生成多台座。"
"neg_prompt_only_respected","输出模式限制","workflow","用户明确只要 Prompt 或先别生图","不调用生图能力，只输出任务卡、Prompt、禁止项和自检。","high","用于执行模式判断。"
"neg_membership_no_third_party_card","会员业务边界","business","business_line_id=biz_membership","不把转转平台会员日画成视频/游戏/咖啡等第三方会员充值、点卡、兑换卡或虚拟权益卡售卖页面。","high","第三方会员仍走 N 品类卡券。"
