"background_recipe_id","background_recipe_name","background_family","background_style","context_cue","context_strength","best_for_business","best_for_category","best_for_marketing","best_for_product_combination","best_for_composition","avoid_for","prompt_fragment","positive_visual_language","continuity_rules","negative_rule_ids","notes"
"bg_music_material_window_light","乐器_材质空间窗光_弱中语境","材质空间底","music_material_window_light","instrument_material_space","weak_to_medium","biz_n_category","cat_musical_instrument","m_good_goods|m_professional_recommendation|m_new_arrival|m_flash_sale","combo_single_hero|combo_same_category_multi_sku","comp_stable_product|comp_premium_closeup","heavy_stage_noise|practice_lifestyle_story|ordinary_round_podium","背景呈现乐器专属的低语境高级材质空间，不讲练习、演奏或人物故事；从木质墙面、木地板、深色声学墙、暖色墙面、竖向木纹、简洁墙角、低矮台面或真实落地空间中选择一种主空间，用侧窗光、斜向光斑、暗部层次和真实接触阴影承托乐器。允许固定出现 1 组极低存在感的英文微装饰，或在用户提供装饰字时加入 1 处手写感装饰字，但它们只能停留在标题附近、标题呼吸区、主视觉边缘或外缘留白，不扩展成生活方式道具陈列。","空间像高端乐器品牌广告而不是普通电商展台：墙面和地面有材质温度，侧窗光或斜向主光形成大块明暗切面，乐器边缘、琴体木纹、金属件、弦线和轮廓被光线清楚勾出；可有少量木质、黑胡桃、暖灰、深棕或低饱和暖色材质层次，但不依赖圆形展台、空白渐变或舞台灯阵。英文微装饰和装饰字只作为版式完成层，可使用极小英文短词、短横线、点列或 //，不形成第三条营销文案，不引入事实信息。","乐器、墙面、地面、标题区、光斑和微装饰共享同一光源方向；乐器与地面或台面通过接触阴影建立真实关系，空间只服务材质、光影和商品识别，不发展成人物使用或练习剧情，不把微装饰扩写成编辑角落或生活方式布置。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","乐器 B 档优先背景；承接高级商品光影调制，目标是材质空间、窗光、暗部层次和图 3 类低语境高级乐器广告感；可固定保留 1 组版式级英文微装饰与用户装饰字。"
"bg_music_editorial_paper_studio","乐器_音乐生活方式角落_中语境","音乐生活方式角落","music_editorial_paper_studio","instrument_music_editorial_corner","medium","biz_n_category","cat_musical_instrument","m_lifestyle_seeding|m_good_goods|m_professional_recommendation|m_seasonal_promotion|m_flash_sale","combo_scene_display|combo_single_hero|combo_same_category_multi_sku","comp_scene_immersive|comp_stable_product","heavy_stage_noise|ordinary_practice_room|ordinary_round_podium|pure_gradient_only","背景呈现乐器专属的音乐生活方式空间，不讲音乐节舞台或厚重商业棚拍；每次先确定 1 个主承托空间，例如墙面与桌面/地面转折、窗侧光带下的木台、收纳角与连续台面、私人收藏墙面。专辑封套、黑胶唱片、纸张、personal belongings、极少量无业务含义的英文短词装饰、轻手写英文批注和轻肌理只能附着在这个主承托空间里，作为真实但克制的低存在感生活痕迹；这些英文装饰不得带编号、期号、日期、服务承诺、平台名或卖点条。可再从纸片式小海报、便签、拍立得、歌词纸、清单纸、拨片、耳机、小录音设备、书册、杯子、边缘小台灯、收藏照片中选 1-2 组，不全部堆放；可弱加入叶影或边缘小植物，但不把植物作为主元素。","空间像一处被编辑过的音乐生活空间，而不是独立纸面版式或纯商品图：具备 quiet luxury、vintage editorial、analog lifestyle 的安静气质，重点是主承托空间、私人收藏痕迹、生活余温与编辑排版感。画面质感来自低饱和材质、轻印刷颗粒和极轻胶片噪点。光影采用下午自然阳光从窗侧照入，形成柔和但明确的明暗切面、长一点的阴影和空气感，让乐器像被发现的收藏品，而不是被搭台拍摄的样品。","乐器、主承托空间、个人收藏物、英文小装饰、标题区和光影共享同一窗侧自然光系统；所有阴影、接触关系、纸片投影和琴体高光都从同一下午自然光推导，不出现双方向补光、漂浮阴影或割裂光感。personal belongings 只作为真实生活过的痕迹和编辑语境，不发展成明确人物行为、完整房间全景或家居软装展示；乐器始终是第一视觉主体，装饰与肌理只做低优先级辅助。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","乐器 A 档默认背景；无需额外补充私人收藏、personal belongings、英文小装饰、纸感、印刷感、胶片感、浅色或深色等词即可直接调用。目标是有主承托空间的私人音乐生活感、极少量无业务含义的英文装饰、轻肌理和真实生活停留感。"
"bg_music_fresh_event_lifestyle","乐器_清爽音乐活动生活方式_中语境","音乐活动生活方式场景","music_fresh_event_lifestyle","music_event_lifestyle","medium","biz_n_category","cat_musical_instrument","m_good_goods|m_professional_recommendation|m_lifestyle_seeding|m_seasonal_promotion|m_flash_sale","combo_scene_display|combo_single_hero|combo_same_category_multi_sku","comp_scene_immersive|comp_stable_product","heavy_stage_noise|ordinary_practice_room","背景呈现清爽的音乐活动、品牌音乐空间或生活方式广告场景；每次先确定 1 个主空间结构，再选择少量活动元素和编辑装饰。主空间结构可从连续地面/木地板、窗边地面光带、露台远景、花园前中后景、音乐主题橱窗纵深、轻舞台边缘空间中选择一种。标题文字直接落在同一场景中的低细节背景区域上；商品、标题、前景、远景和地面属于同一个摄影空间。默认使用远景降细节、轻度平面化与杂志广告式调色整理真实场景；画面带有极轻的哑光纸张颗粒和轻印刷感；1-2 组低存在感编辑型小装饰只作为空间里的弱完成层，可使用极小英文短词、短横线、点列或 // 分隔，但不使用编号感、期号感、日期感、平台栏或服务卖点文案，也不改变主空间结构。","画面有清爽音乐活动感和品牌专题感，乐器仍是主角；主空间结构、光线、少量音乐道具和活动氛围共同强化兴趣消费、练习想象、演奏情绪或生活方式价值，整体保持干净、明快、完整和有节奏。远景降细节、轻度平面化、杂志广告式调色与轻纸感、轻印刷感一起作为弱完成层，必须附着在同一个摄影空间和主视觉结构上。","乐器、主空间结构、场景空间、音乐线索、标题区和小装饰共享同一色调、光源、透视或景深逻辑；地面、前景、远景和商品底部形成连续空间关系。场景服务乐器主体、主副标题阅读和活动情绪，不让背景压过商品。远景只做降细节和平面化整理，极轻的哑光纸张颗粒与轻印刷感只作为弱材质调制，不做全画面统一覆盖式主导效果。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","乐器 A 档条件切换背景；当补充或素材明确出现其他场景、节日、季节、空间、活动或陈列语义时调用。默认稳定带有主空间结构、远景降细节、轻度平面化、杂志广告式调色，以及极轻的哑光纸张颗粒和轻印刷感；1-2 组低存在感编辑型小装饰只作为弱完成层，不承担平台栏、卖点条或编号感信息。"
"bg_music_3d_operation_scene","乐器_3D运营主题陈列_中强语境","3D运营主题陈列空间","music_3d_operation_scene","music_operation_display","medium_to_strong","biz_n_category","cat_musical_instrument","m_good_goods|m_professional_recommendation|m_lifestyle_seeding|m_seasonal_promotion|m_flash_sale","combo_scene_display|combo_single_hero|combo_same_category_multi_sku","comp_scene_immersive|comp_stable_product","ordinary_practice_room|pure_lifestyle","背景呈现乐器专属的轻立体音乐运营空间；可从音乐符号三维陈列、声波舞台化空间、主题展陈橱窗、几何音乐展台、透明材质块、声波或音符形体、品牌活动装置中选择一种主方向。用于明亮主题陈列时，可将这些装置翻译成户外活动装置、舞台前景结构、彩色路牌、贴纸型主题图形或草地活动陈列，但仍保持统一空间秩序。默认稳定加入极轻的哑光纸张颗粒、很淡的印刷肌理和 1-2 组低存在感编辑型小装饰，作为附着在同一空间里的弱完成层。","3D元素是空间结构和活动装置，围绕乐器形成更强的运营专题感；乐器通过前后层级、高低关系、支架、台面、墙面倚靠或舞台式摆位形成清晰陈列，声波、音符、几何承托和透明材质只作为统一空间语言。明亮方向允许更高亮度、蓝天草地、户外舞台远景和活动装置，但不做成普通生活方式照片。纸张颗粒、轻印刷感和编辑型小装饰只作为低强度完成层，位置限制在边角、外缘留白和标题呼吸区，不改变 3D 运营主空间。","乐器、3D承托结构、音乐符号、标题区、投影和高光共享同一透视与光源；运营装置服务商品主次、完整识别和标题阅读。明亮方向时，蓝天、草地、舞台远景、装置路牌和贴纸图形也应共享同一活动系统，而不是零散拼贴。纸感肌理和小装饰共享同一色调、透视与光源逻辑；小装饰只使用极小英文短词、短横线、点列、// 或轻编号感，不引入年份、期号、季节或其他新增事实。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_no_template_sale","乐器 S 档优先背景；用于明亮主题陈列或 3D 运营主题陈列方向。默认可附着极轻纸感、淡印刷肌理和 1-2 组低存在感编辑型小装饰，作为不改写主空间的弱完成层。"
"bg_premium_dark_trust","通用_暗色质感_高价值信任_弱语境","质感暗色底","premium_dark","trust_value","weak","biz_recycle|biz_n_category","cat_luxury|cat_gold|cat_wine|cat_billiards_cue|cat_camera","m_service_trust|m_professional_recommendation|m_good_goods","combo_single_hero|combo_service_flow","comp_premium_closeup|comp_stable_product","flash_sale_noise","背景采用稳重暗色质感、微光和材质层次，突出高价值、专业和信任感，商品细节清楚。","用深色材质、窄边高光、微弱反射和低饱和金属光建立价值感；画面克制、有安全感，商品边缘和关键材质被光线勾出。","暗部、台面和文字区使用统一光源；文字区保持足够对比并延续整体高级感。","neg_product_identity|neg_no_crop_occlusion|neg_no_brand_hallucination","适合高价值回收和专业器材。"
"bg_lifestyle_scene_soft","生活方式场景_柔和_中语境","场景氛围底","soft_lifestyle_scene","daily_use","medium","biz_n_category|biz_consumer_electronics","cat_bicycle|cat_musical_instrument|cat_headphones|cat_home_appliance|cat_book|cat_camera","m_lifestyle_seeding|m_good_goods|m_professional_recommendation|m_seasonal_promotion","combo_scene_display|combo_cross_category|combo_single_hero","comp_scene_immersive|comp_stable_product","price_first_flash_sale","背景呈现柔和生活方式场景，可出现局部空间、少量道具和使用氛围，帮助理解商品使用理由。","场景要像主标题的生活证据：柔和自然光、浅景深、少量有意义道具和干净空间，让用户理解商品适合某种兴趣或生活方式。","场景元素、商品和标题区共用同一空间色调；道具在边缘或后景提供语境，画面保持一体化。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_no_template_sale","场景表达优先；适合种草和使用理由明确的 N 品类或消费电子。"
"bg_bicycle_contrast_colorblock_studio","骑行_强对比几何色块棚拍背景_中语境","几何色块棚拍空间","bicycle_contrast_colorblock_studio","cycling_product_ad_studio","medium","biz_n_category","cat_bicycle","m_good_goods|m_professional_recommendation|m_flash_sale|m_new_arrival","combo_single_hero|combo_scene_display","comp_stable_product|comp_premium_closeup","","背景采用骑行 B 档专用强对比几何色块棚拍空间；撞色色相池每次选择一组并记录色相关系与明暗调制，不锁定固定色值：红黑暖白、深蓝高彩黄、棕黄琥珀、酸绿皇家蓝、松石绿橙、奶油绿蓝、青蓝荧光黄、蓝橙高彩、深紫珊瑚、雾粉珊瑚藏蓝、深紫青绿薰衣草。色相选择跟随上传商品图中的明显商品色；商品图以黑白灰银为主时，从撞色色相池中轮换选择一组。执行时根据商品颜色、标题底色和画面明暗，将选中色相调制为深色版、浅色版、柔和版或高对比版。按三层色彩系统展开：空间基础色、高彩空间主色、中性浅色切面/呼吸层，所有空间色均来自选中色相关系；三色按主次分配为一个大面积空间基础色、一个中面积高彩空间主色、一个小面积中性浅色切面/呼吸层。深色版以深色空间基础色为最大面积，浅色版以中性浅色/呼吸色为最大面积。高彩空间主色形成主墙面、地面、斜切几何面和墙地交界，承托车身和前轮。","空间像运动器材广告棚拍：空间基础色稳住标题区，高彩空间主色托住自行车，中性浅色切面/呼吸层形成哑光斜切几何面、侧墙面、局部墙地转折、标题区呼吸或柔和地面反射；三色有明确主次，一个颜色主导画面重量，一个颜色承托商品和空间动势，一个颜色作为小面积呼吸与分离；色彩带有渐变、明暗衰减、轻材质纹理和低反射，形成高级撞色空间。几何色块以墙面、地面、侧墙和斜切切面构成棚拍空间；几何切面也可由真实斜向投影、半硬边光斑和明暗切面形成，墙面和地面保持哑光细颗粒材质、柔和阴影衰减、低反射质感和真实接触阴影，让空间更接近高级商品摄影棚拍；中性浅色切面承担空间转角、侧墙或标题呼吸层，几何面之间有前后层次、墙地交界阴影、明暗衰减和低反射地面；斜切面沿统一运动方向展开，形成速度感和空间引导。用户特殊要求出现浅色、清爽、明亮、白底、淡色或轻盈时，增加选中色相中浅色/中性色的空间面积，并保持商品摄影的强明暗结构。","自行车、标题、墙面、地面、斜切几何面和光影共享同一透视与光源；选中的色相关系贯穿墙面、地面、斜切几何面、标题区呼吸层、车身轮廓分离和地面反射。三层色彩保持主次节奏，空间基础色承接标题阅读和画面重量，高彩空间主色位于车身后方或前轮下方，中性浅色切面/呼吸层打通墙地转折、画面呼吸和主体轮廓分离；真实斜向投影、半硬边光斑、墙地交界阴影和轮胎接触阴影共享同一主光方向。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","骑行 B 档优先背景；色相跟随上传商品图中的明显商品色，商品图以黑白灰银为主时从撞色色相池轮换；空间色来自选中色相关系并按明暗调制；三色按大面积基础色、中面积高彩主色、小面积呼吸层组织；几何面形成墙面、地面、侧墙和斜切切面的棚拍空间；背景材质光影可用哑光细颗粒、真实斜向投影、半硬边光斑、低反射地面和真实接触阴影增强摄影质感；承接预设色相、强对比几何空间和高级商品光影调制。"
"bg_outdoor_cycling_scene","骑行_广告摄影户外场景_强语境","场景氛围底","outdoor_cycling","cycling_outdoor_ad_photo","strong","biz_n_category","cat_bicycle","m_lifestyle_seeding|m_professional_recommendation|m_seasonal_promotion","combo_scene_display|combo_single_hero","comp_scene_immersive","price_card_heavy","背景呈现广告摄影与平面海报化后期结合的骑行户外画面，以大面积天空、远景虚化、剪影层和道路切线组织品牌海报式场景。每次先确定 1 个主结构元素，再补充 1-2 个辅助环境元素，让户外元素共同服务色场、构图线、空间方向、速度方向和情绪氛围。默认加入极轻的哑光纸张颗粒和印刷纸感，作为画面内部的统一质感层。顶部横向留白区域固定生成 2-3 组极小号编辑信息簇，作为骑行 A 档稳定出现的编辑装饰组件，信息内容只使用主标题、副标题、装饰字的英文提炼与重组。骑行 A 档必须把画面推向一个有冲突、有速度、有情绪的骑行视觉海报。","用大块天空色场、晚霞渐变、城市远景虚化、山体剪影、海岸线、道路切线、围墙局部色块、建筑面、地平线构图、强侧逆光、夕阳逆光、轮廓光、地面高光、长投影、雾化空气感或强方向光建立艺术化广告摄影感；强化骑行速度感，地面可出现沿骑行方向拉开的速度拖影、路面纹理拖影、轮胎附近动态虚化和前后空间压缩；通过近轮放大、远景压缩、道路线向后收束和侧逆光轮廓线形成更强速度透视；加入杂志广告式调色、背景轻度平面化、远景降细节、轻雾化或电影级色彩层次，让画面像经过设计后期的品牌骑行海报；非常轻的纸张颗粒、纸面纤维和哑光印刷感集中落在天空留白、顶部信息区和主标题呼吸区，形成统一专题海报质感，同时保持自行车主体、logo、轮组、传动和标题文字清晰完整；顶部编辑装饰稳定表现为横向留白区域内的 2-3 组低存在感信息簇，内容从主标题、副标题、装饰字提炼为简短英文词，并用 //、短横线、点列和小组块组织成装饰性结构；这些信息簇服务版式节奏与专题气质，不额外引入年份、期号、季节、栏目名或其他新增信息；这些元素共同服务速度、冲突和情绪表达，保证商品、人物、标题和权益信息处在清晰主层级；自行车或骑行人物与背景形成戏剧关系，如压在日出点、城市线前、道路中央、山坡边缘或强光影结构中。当人物参与=是时，背景混搭优先服务人车使用关系、前进方向和速度感，环境元素为骑行路线、速度感、场景语境和标题主题提供支持，保持完整的商品使用场景。","真实环境经过简化、虚化、压缩、色彩设计和平面海报化处理，以一个最强视觉结构承接标题和商品。道路、墙面、天空、远景、地面投影、地面速度拖影和商品底部共享统一透视与光源；强侧逆光方向贯穿人物、车架轮廓、轮组高光和地面高光；标题区由干净天空、墙面、远景虚化或大色块留白承接，形成清晰阅读面。纸感纹理作为画面内部的轻材质层，主要包裹顶部信息簇和主标题呼吸区，保持整张图的统一海报质感；顶部信息簇稳定落在上边缘内侧的横向留白带，与商品主体一起形成完整的专题版式节奏。当画面出现骑行中的人物或自行车时，自行车前方必须保留清晰可通行的道路空间，不可正对墙面、建筑立面、封闭拐角或形成即将碰撞感的障碍。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter","骑行 A 档专用高置信背景；重点是广告摄影背景处理、速度透视、强侧逆光和地面速度拖影，不是地点完整复现。纸感以画面内部弱调制参与整体风格；编辑装饰固定采用顶部信息簇。"
"bg_music_concert_surreal_scene","乐器_演唱会超现实抽象场景_强语境","舞台/超现实音乐场","music_concert_surreal","concert_surreal_music","strong","biz_n_category","cat_musical_instrument","m_lifestyle_seeding|m_professional_recommendation|m_seasonal_promotion|m_flash_sale|m_good_goods","combo_scene_display|combo_single_hero|combo_same_category_multi_sku","comp_scene_immersive|comp_stable_product","clean_practice_only|ordinary_product_podium","背景呈现夜场舞台氛围、演唱会级空间感或超现实抽象音乐场景，从舞台聚光、灯阵、烟雾、观众席剪影、声波空间、抽象音符光影、音乐能量线、乐器巨物化或声浪空间中选择一种主方向，形成强音乐主题。默认稳定加入极轻的哑光纸张颗粒、很淡的印刷肌理和 1-2 组低存在感编辑型小装饰，作为附着在同一舞台系统里的弱完成层。","乐器仍是视觉主角，舞台光束、烟雾、声波、抽象音符、观众席剪影或超现实空间只服务音乐氛围和主体轮廓；可有强逆光、彩色舞台光、局部聚光、暗部层次、声浪形构图和电影级舞台空气感，但不堆满无关装饰。夜场方向优先黑场、灯束、人群或舞台屏幕的事件感。纸张颗粒、轻印刷感和编辑型小装饰只作为低强度完成层，位置限制在边角、外缘留白和标题呼吸区，不改写舞台事件感。","乐器、舞台光、抽象音乐元素、标题区和投影共享同一光源与空间方向；超现实元素围绕乐器或演奏动作展开，不改变商品身份，不让背景压过主体。夜场方向时，观众、人群剪影、灯光与舞台烟雾也要和商品主次共用同一事件空间。纸感肌理和小装饰共享同一色调、透视与光源逻辑；小装饰只使用极小英文短词、短横线、点列、// 或轻编号感，不引入年份、期号、季节或其他新增事实。","neg_product_identity|neg_no_crop_occlusion|neg_visual_clutter|neg_no_template_sale","乐器 S 档专用；用于夜场舞台氛围、演唱会级空间感或超现实抽象音乐场。默认可附着极轻纸感、淡印刷肌理和 1-2 组低存在感编辑型小装饰，作为不改写主空间的弱完成层。"
"bg_work_study_desk","消费电子_电脑桌面_中语境","具体场景类","digital_desk","computer_desk","medium","biz_consumer_electronics","cat_computer|cat_tablet|cat_headphones|cat_smart_wearable","m_good_goods|m_professional_recommendation|m_lifestyle_seeding|m_seasonal_promotion","combo_scene_display|combo_single_hero|combo_same_category_multi_sku|combo_ce_single_scene|combo_ce_curated_assortment","comp_scene_immersive|comp_stable_product","strong_price_layout","背景呈现电脑桌面或数码设备桌面语境，并先选定消费电子光影策略写入 review；可有真实桌面、窗光、百叶窗影、侧逆光、屏幕微光、暗色桌面、浅色强对比、深色强对比、局部聚光、少量数码桌面物品和有序信息层，突出设备使用价值。","用桌面材质、窗影、局部聚光、屏幕微光、暗部层次、电脑桌面物品和有序空间表达效率；桌面不是学习桌、书桌或文具桌，而是被广告化整理过的数码设备桌面，需要有明确光源、强弱对比、商品边缘高光、接触阴影和产品广告摄影感的小场景。","桌面、设备阴影、背景墙、信息模块和标题区保持同一透视与光源；文字区可使用桌面上方留白、窗光区域或轻量信息区；场景细节服务商品和效率主题，不喧宾夺主。","neg_product_identity|neg_no_crop_occlusion|neg_no_unprovided_facts","场景表达优先；适合电脑、平板、耳机等数码桌面语义，也可承接消费电子专题货盘。"
"bg_travel_camera_scene","出游拍摄_专业场景_中强语境","具体场景类","travel_camera","travel_shooting","medium_to_strong","biz_consumer_electronics|biz_n_category","cat_camera|cat_phone|cat_headphones","m_professional_recommendation|m_lifestyle_seeding|m_good_goods","combo_scene_display|combo_same_category_multi_sku","comp_scene_immersive|comp_premium_closeup","price_first_flash_sale","背景呈现出游、拍摄或演出记录语境，镜头、光影和空间服务摄影摄像或手机拍摄价值。","用旅行光线、远处虚化景物、镜头反光或拍摄路线暗示记录感；商品保持专业质感，场景说明拍摄理由。","远景虚化、商品高光和文字留白在同一色温下融合，形成完整拍摄语境。","neg_product_identity|neg_no_crop_occlusion|neg_no_unprovided_facts|neg_visual_clutter","场景表达优先；适合摄影摄像和出游记录语义。"
"bg_game_abstract_light","游戏_抽象光影专题_中语境","游戏背景底","game_abstract_light","game_abstract_topic","medium","biz_n_category","cat_game","m_good_goods|m_flash_sale|m_professional_recommendation","combo_scene_display|combo_single_hero|combo_same_category_multi_sku","comp_scene_immersive|comp_stable_product","service_trust","背景采用抽象光影游戏氛围底加游戏主视觉，并叠加少量平面运营图形层。","背景以主题色渐变、柔和环境光、轻雾感、抽象能量色晕、局部光斑和留白层次承托角色主视觉；可加入点阵、斜线纹理、轻 UI 线框、抽象符号或主题色块，让画面兼具游戏氛围和平面专题感。","游戏背景、主标题、副标题信息条、角色主体和权益模块共享统一色彩层级和空间透视；角色前景清晰，主标题采用正视平面排版，直接排在连续背景空间上。","neg_game_no_ip_hallucination|neg_no_unprovided_facts|neg_visual_clutter|neg_no_text_outline_shadow|neg_no_perspective_text|neg_no_title_panel_carrier","从游戏背景氛围中拆出的游戏 A 档抽象光影背景；旧游戏背景继续保留给 S 档和兜底。"
"bg_game_ui_graphic","游戏_背景氛围_中语境","游戏背景底","game_background","game_world_context","medium","biz_n_category","cat_game","m_good_goods|m_flash_sale|m_professional_recommendation","combo_scene_display|combo_single_hero|combo_same_category_multi_sku","comp_scene_immersive|comp_stable_product","service_trust","背景采用弱游戏语境背景延展，从角色服饰、武器、技能属性、场景气质或游戏世界观中延展出统一背景氛围，承托游戏人物或角色群像。","用低到中饱和色彩、柔和环境光、适度景深和清晰空间层次，让背景与角色主体同属一个游戏视觉系统，同时保持画面简洁、主体清楚、标题稳定可读。","游戏背景、主标题、副标题信息条、角色主体和权益模块共享统一色彩层级和空间透视；角色前景清晰，主标题采用正视平面排版，直接排在连续背景空间上。","neg_game_no_ip_hallucination|neg_no_unprovided_facts|neg_visual_clutter|neg_no_text_outline_shadow|neg_no_perspective_text|neg_no_title_panel_carrier","适合 N 品类游戏人物和角色群像；整体偏简洁、清爽和中等游戏语境。"
"bg_recycle_service_graphic","回收_背景_弱中语境","浅色平面/台面底","recycle_clean_background","recycle_trust","weak_to_medium","biz_recycle","cat_all|cat_phone|cat_general|cat_luxury|cat_gold","m_service_trust|m_subsidy_benefit","combo_single_hero|combo_same_category_multi_sku|combo_multi_recyclable|combo_product_cards","comp_stable_product|comp_card_grid","ordinary_sales","背景采用回收专用的简洁浅色平面或台面空间，以干净墙面、无台面或最多 1 个连续浅色台面、柔和渐变、自然光、轻投影和清晰留白承托商品或回收对象，整体表达简单、省心、值得信任。","主色以低饱和浅色为基础，让画面清爽干净。承托台或台面不是必选；如出现，只能是 1 个连续台面或 1 个统一承托面，不生成两个或多个分离台子、圆台、石台、托盘或承托块。主标题使用端正稳定、笔画厚实、重心稳、字面略紧的现代标题黑体气质；副标题和补贴信息更细、更克制，数字可使用产品色或业务强调色。","背景、单一台面（若有）、商品、标题和补贴信息共享同一光源、投影和色彩体系；浅色空间提供阅读面，商品色彩在背景中形成柔和呼应，标题区与商品区保持清晰分区和稳定对齐；若不需要台面，商品可通过轻投影、软接触阴影或低存在感分组直接落在连续浅色空间中。","neg_business_recycle_not_sale|neg_service_claims_source|neg_no_unprovided_facts|neg_visual_clutter|neg_recycle_podium_count","回收默认背景；保留旧 ID 以兼容既有引用，语义更新为简洁可信的回收背景；回收浅色背景最多 1 个连续台面，也可以无台面。"
"bg_new_arrival_stage","新品发布_商品高光_中语境","新品发布/品牌发布","new_arrival_stage","new_product_launch","medium","biz_consumer_electronics|biz_n_category","cat_phone|cat_smart_wearable|cat_game_device|cat_billiards_cue","m_new_arrival","combo_single_hero|combo_same_category_multi_sku","comp_stable_product|comp_premium_closeup","recycle_service","背景采用新品登场的发布感空间，中心商品有高光、轻舞台或科技光效，信息层级克制。","用中心高光、轻舞台、干净空间层次和克制科技光线营造登场感；商品像被正式发布但不夸张。","舞台光、商品投影和标题区高光统一；发布感从商品中心向外扩散。","neg_product_identity|neg_no_unprovided_facts|neg_no_brand_hallucination|neg_no_template_sale","适合新品上新；不适用于潮玩。"
"bg_card_module_benefit","通用_卡片模块_权益承载_弱中语境","卡片承载底","card_module_benefit","benefit_cards","weak_to_medium","all","cat_phone|cat_computer|cat_card_coupon|cat_general|cat_all","m_flash_sale|m_subsidy_benefit|m_sales_ranking","combo_product_cards|combo_subject_card_carrier|combo_ranked_products|combo_multi_recyclable","comp_card_grid","pure_lifestyle","背景采用模块化卡片承载结构，用少量高亮色块、商品卡、权益卡、充值卡、会员卡、兑换卡或服务卡组织信息，层级清楚。","卡片模块要像统一设计系统：边距、圆角、阴影、色块和图标风格一致，商品卡、权益卡和标题区有明确阅读顺序；卡券类画面以清晰虚拟卡面、会员/充值/兑换权益模块和可信信息层级为主；当与主体卡片承载联动时，主卡装主体，权益卡装信息，两者层级分明。","所有卡片遵循同一网格和光影，卡片底色与背景渐变自然融合，形成一个完整信息系统；卡券卡面、权益模块和标题区保持清晰可信，不引入未提供的品牌、面额、有效期或服务承诺。","neg_no_unprovided_facts|neg_no_crop_occlusion|neg_visual_clutter","稳定承托优先；多信息场景通用；卡券类优先表达虚拟权益、充值、会员或兑换价值。"
"bg_membership_premium_gold","会员_高级暖金材质色场_中语境","会员材质色场","membership_premium_material","member_day_premium","medium","biz_membership","cat_membership_day","m_membership_day|m_membership_seasonal","combo_membership_day_visual","comp_membership_day_head","ordinary_sale_cards|heavy_neon|busy_pattern","会员 A/S 2:1 AI 底图采用连续的高级暖金色场，使用柔和浅金、香槟金与克制深金形成自然明暗过渡；不进入命名色板选择或节日换色逻辑。","背景像高级丝缎、珠光纸或细磨砂涂层：保持一个连续暖金色场，叠加极细哑光颗粒，并只出现一处宽幅、低对比、柔焦的材质褶光或丝缎光带；商品接触阴影、金币反射和毛笔标题继承同一暖色主光。","标题区保留温和的浅金留白，商品区允许局部材质褶光和柔和金属反射；纹理不形成图案、网格、压纹 Logo、闪粉或多种材质拼接，背景不抢标题和前景商品。","neg_membership_no_fixed_layer_redraw|neg_visual_clutter|neg_no_template_sale|neg_background_disconnected_system","会员 A/S 默认高级暖金背景；季节活动只调制标题、商品和氛围，不切换到指定色板。"
